Denominazione,Categoria,Comune,Indirizzo,Latitudine,Longitudine,Prezzo,Contatti
Museo della Statuaria Preistorica in Sardegna,"museo, galleria, raccolta",Laconi,"Piazza G. Marconi, 10",39.854474546,9.052288387,5.0,+39 0782 693238// +39 3423507760
MEOC (Museo Etnografico Oliva Carta Cannas),"museo, galleria, raccolta",Aggius,"Via Monti di Lizu, 6",40.928234652,9.065460341,4.0,+39 079 621029// +39 3494533208
Museo del Banditismo,"museo, galleria, raccolta",Aggius,"Via Pretura, s.n.c.",40.92952259,9.065865433,4.0,+39 079 621029// +39 3494533208
Museo del Giocattolo Tradizionale della Sardegna,"museo, galleria, raccolta",Ales,"Via San Simeone, 9",39.774994428,8.831142701,3.0,+39 0783 998072// +39 3406742512
Museo Diocesano d'Arte Sacra,"museo, galleria, raccolta",Ales,"Piazza Cattedrale, 1",39.768700749,8.816201724,3.0,+39 0783 91974// +39 3287824283
Area archeologica Anghelu Ruju,area o parco archeologico,Alghero,"SP 42, Strada dei Due Mari",40.632537328,8.326859304,5.0,+39 3294385947
Area archeologica Santu Pedru,area o parco archeologico,Alghero,SS 127bis,40.623011368,8.403106557,10.0,+39 3294385947// +39 3490871963
Museo Casa Manno,"museo, galleria, raccolta",Alghero,"Via Santa Barbara, 23",40.55943437,8.312117249,5.0,+39 079 9732026// +39 3911254574
Museo del Corallo,"museo, galleria, raccolta",Alghero,"Via XX Settembre, 8",40.55700098,8.31629348,5.0,+39 079 9734045// +39 079 979054
Museo Diocesano d'Arte Sacra,"museo, galleria, raccolta",Alghero,"Piazza Duomo, s.n.c.",40.559204168,8.313139939,4.0,+39 079 9733041
Museo Naturalistico Mare Nostrum Aquarium,"museo, galleria, raccolta",Alghero,"Via XX Settembre, 1",40.556693484,8.316091079,8.0,+39 079 978333
Nuraghe Palmavera,area o parco archeologico,Alghero,"Località Mastru Antoni, SS 127 bis km 45,450",40.594988547,8.242894099,5.0,+39 3294385947
M.U.B.A. Museo della Bonifica di Arborea,"museo, galleria, raccolta",Arborea,"Corso Italia, 24",39.773627097,8.580103276,3.0,+39 0783 802005
Museo Alberto e Giovanni Antonio Castoldi - Museo Mineralogico - Collezione Diorami Dellacà,"museo, galleria, raccolta",Arbus,"Piazza G. Rolandi, s.n.c.",39.557369474,8.569823681,5.0,+39 3396939435// +39 3281540281
Ecomuseo della Montagna Sarda o del Gennargentu,"museo, galleria, raccolta",Aritzo,"Parco Comunale Pastissu, 3",39.950227438,9.192275755,3.0,+39 3898731853// +39 0784 627200
Museo Bottega Del Fabbro,"museo, galleria, raccolta",Armungia,"Vico I G. Mazzini, 14",39.521873277,9.382265965,6.0,+39 070 9589011// +39 070 958076 FAX
Museo Etnografico Sa Domu De Is Ainas,"museo, galleria, raccolta",Armungia,"Piazza Municipio, 3",39.522210147,9.383614924,6.0,+39 070 9589011// +39 070 958076 FAX
Museo Storico Emilio e Joyce Lussu,"museo, galleria, raccolta",Armungia,"Via E. Lussu, s.n.c.",39.522364098,9.380800883,6.0,+39 070 9589011// +39 070 958076 FAX
Complesso Nuragico La Prisgiona,area o parco archeologico,Arzachena,"SS 427, Località Capichera, 1",41.047599947,9.362415177,4.0,+39 3938975528// +39 3457200094
Nuraghe Albucciu,area o parco archeologico,Arzachena,SS 125 Olbia - Palau,41.067979532,9.409779341,4.0,+39 3457200094
Tomba di Giganti di Coddu Ecchju,area o parco archeologico,Arzachena,"SP 14, Località Coddu Ecchju",41.050189598,9.35595028,4.0,+39 3457200094// +39 3455760643
Tomba di Giganti di Li Lolghi,area o parco archeologico,Arzachena,"SP 115 per Luogosanto, km 45, Località M.Giu di Li Lolghi",41.066652557,9.333793866,4.0,+39 3457200380// +39 3457200094
Tomba di Giganti Moru,area o parco archeologico,Arzachena,SS 125 Olbia - Palau,41.069114938,9.412190539,4.0,+39 3455760538// +39 3457200094
Museo d'Arte Moderna e Contemporanea Antonio Ortiz Echague,"museo, galleria, raccolta",Atzara,"Piazza Antonio Ortiz Echague, 1",39.991563268,9.075344563,3.0,+39 0784 65508// +39 3477983242
Polo Museale Casa Zapata,"museo, galleria, raccolta",Barumini,"Piazza Giovanni XXIII, s.n.c.",39.702938402,9.00005758,14.0,+39 070 9368476
Museo del Vino - Enoteca Regionale della Sardegna,"museo, galleria, raccolta",Berchidda,"Via Gian Giorgio Casu, 5",40.788327955,9.170512742,3.0,+39 079 705268
Museo S'Omo e Sa Majarza,"museo, galleria, raccolta",Bidonì,"Via Monte, 9",40.11317212,8.937124793,3.0,+39 0783 69044// +39 3483943842
Museo della Civiltà Pastorale e Contadina,"museo, galleria, raccolta",Bitti,"Via Goffredo Mameli, 52",40.477485471,9.381761332,2.5,+39 0784 414314// +39 3333211346
Museo Multimediale del canto a tenore,"museo, galleria, raccolta",Bitti,"Via Goffredo Mameli, 52",40.477603091,9.381608638,2.5,+39 0784 414314// +39 3333211346
Sito Archeologico di Romanzesu,area o parco archeologico,Bitti,"SS 389, km 54",40.530342934,9.324816115,4.0,+39 3333211346// +39 0784 414314
Museo Civico Archeologico,"museo, galleria, raccolta",Bonorva,"Piazza S. Antonio, s.n.c.",40.418590354,8.766444132,4.0,+39 3485642611// +39 079 867894
Necropoli di Sant'Andrea Priu,area o parco archeologico,Bonorva,"SP 43, località Santa Lucia",40.421647881,8.847212066,6.0,+39 3485642611// +39 079 867894
Museo della Cattedrale di San Pietro di Sorres,"museo, galleria, raccolta",Borutta,"San Pietro di Sorres, s.n.c.",40.520138601,8.749316593,3.0,+39 3393312355// +39 079 824001// +39 079 824025
Basilica di San Pietro Extra Muros,monumento o complesso monumentale,Bosa,"Via San Pietro, s.n.c.",40.289260887,8.51990324,2.0,+39 0785 373286// +39 3335445675// +39 3403955048// +39 3298505079
Chiesa di Nostra Signora di  Regnos Altos,monumento o complesso monumentale,Bosa,"Via Canonico Nino Gavino, 9",40.297151072,8.504528164,4.0,+39 0785 373286
Collezione permanente Pinanoteca Antonio Atza,"museo, galleria, raccolta",Bosa,"Corso Vittorio Emanuele II, 74",40.295751284,8.501643964,4.5,+39 3288789521
Museo Casa Deriu,"museo, galleria, raccolta",Bosa,"Corso Vittorio Emanuele II, 59",40.296003939,8.501736358,4.5,+39 3288789521
Museo delle Conce,"museo, galleria, raccolta",Bosa,"Via Sas Conzas, 62",40.294448575,8.500394608,3.5,+39 3288789521
Museo d'Arte Contemporanea,"museo, galleria, raccolta",Buddusò,"Corso Antonio Segni, s.n.c.",40.570991034,9.258464706,2.5,+39 079 5610041// +39 3925234333// +39 079 715519
Galleria Henry,monumento o complesso monumentale,Buggerru,"Via Pranu Sartu, s.n.c.",39.398313021,8.399033217,10.0,+39 3341142910
Museo del Minatore,"museo, galleria, raccolta",Buggerru,"Via Marina, s.n.c.",39.40030582,8.400630419,2.5,+39 3341142910
Castello di Burgos,monumento o complesso monumentale,Burgos,"Vico Castello, s.n.c.",40.388520713,8.998935249,3.0,+39 3479018930
Museo dei Castelli,"museo, galleria, raccolta",Burgos,"Vico Castello, s.n.c.",40.38922335,8.996072213,3.0,+39 3479018930
Museo Civico Giovanni Marongiu,"museo, galleria, raccolta",Cabras,"Via Tharros, 121",39.924835242,8.525467942,6.5,+39 0783 290636
Torre di San Giovanni di Sinis,monumento o complesso monumentale,Cabras,"SP 6, Località San Giovanni di Sinis",39.873039012,8.438909733,4.0,+39 0783 370019
Anfiteatro Romano,monumento o complesso monumentale,Cagliari,"Via Sant'Ignazio da Laconi, 27",39.224022454,9.113394178,3.0,+39 3662562826// +39 070 6670168
Castello di San Michele,monumento o complesso monumentale,Cagliari,"Via Sirai, s.n.c.",39.244764832,9.109782936,3.0,+39 070 15240479// +39 3466673657
Centro Comunale d'Arte e Cultura Exmà,"museo, galleria, raccolta",Cagliari,"Via San Lucifero, 71",39.214517877,9.120537388,5.0,+39 070 666399// +39 3466673565
Galleria Comunale d'Arte,"museo, galleria, raccolta",Cagliari,"Largo giuseppe Dessì, s.n.c.",39.225970756,9.115986708,6.0,+39 070 6776454// +39 070 6777598
Museo d'Arte Siamese Stefano Cardu,"museo, galleria, raccolta",Cagliari,"Piazza Arsenale, 1",39.222757067,9.117319475,3.0,+39 070 6776543
Museo del Duomo,"museo, galleria, raccolta",Cagliari,"Via Fossario, 5",39.218477224,9.117011055,4.0,+39 3282687731// +39 070 680244
MUTSEU - Museo del Tesoro e Area Archeologica di S. Eulalia,"museo, galleria, raccolta",Cagliari,"Vico del Collegio, 2",39.214631864,9.114722791,5.0,+39 3489310225
Antico Palazzo di Città,"museo, galleria, raccolta",Cagliari,"Piazza Palazzo, 6",39.218639742,9.116698607,9.0,+39 070 6776482
Raccolta delle Cere Anatomiche di Clemente Susini,"museo, galleria, raccolta",Cagliari,"Piazza Arsenale, s.n.c.",39.222009352,9.117132752,1.5,+39 070 6754027// +39 070 6757624// +39 070 6754083
Villa di Tigellio,area o parco archeologico,Cagliari,"Via Carbonazzi, 7",39.22059783,9.108515754,2.0,+39 3662562826
Museo Diocesano di Arte Sacra Santa Giusta,"museo, galleria, raccolta",Calangianus,"Via Rosario, s.n.c.",40.921251298,9.195151533,4.0,+39 3393469370// +39 3471884456
